driverId,fullname,wins,Nationality,Championships,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion
1,Lewis Hamilton,105,United Kingdom,7,103,103,191,61,4415.5,True,2010,0.3311897106109325,1,0.3311897106109325,0.6141479099678456,0.19614147909967847,14.19774919614148,16,True
3,Nico Rosberg,23,Germany,1,30,23,57,20,1594.5,False,2010,0.14563106796116504,1,0.1116504854368932,0.2766990291262136,0.0970873786407767,7.740291262135922,11,True
4,Fernando Alonso,32,Spain,2,22,32,99,23,2076,True,2010,0.06128133704735376,0.9916434540389972,0.08913649025069638,0.2757660167130919,0.06406685236768803,5.782729805013927,19,True
8,Kimi Räikkönen,21,Finland,1,18,21,103,46,1873,False,2010,0.05099150141643059,0.9886685552407932,0.059490084985835696,0.29178470254957506,0.13031161473087818,5.305949008498583,19,True
18,Jenson Button,15,United Kingdom,1,8,15,50,8,1235,False,2010,0.02588996763754045,0.9902912621359224,0.04854368932038835,0.16181229773462782,0.02588996763754045,3.996763754045308,18,True
20,Sebastian Vettel,53,Germany,4,57,53,122,38,3098,False,2010,0.19,0.9966666666666668,0.17666666666666667,0.4066666666666667,0.12666666666666668,10.326666666666666,16,True
30,Michael Schumacher,91,Germany,7,68,91,155,77,1566,False,2000,0.2207792207792208,0.9935064935064936,0.29545454545454547,0.5032467532467533,0.25,5.084415584415584,19,True
35,Jacques Villeneuve,11,Canada,1,13,11,23,9,235,False,2000,0.07878787878787878,0.987878787878788,0.06666666666666667,0.1393939393939394,0.05454545454545454,1.4242424242424243,11,True
57,Mika Häkkinen,20,Finland,2,26,20,51,25,420,False,2000,0.15757575757575756,0.9757575757575756,0.12121212121212122,0.3090909090909091,0.15151515151515152,2.5454545454545454,11,True
71,Damon Hill,22,United Kingdom,1,20,22,42,19,360,False,2000,0.16393442622950818,0.9426229508196722,0.18032786885245905,0.3442622950819672,0.1557377049180328,2.950819672131148,8,True
95,Nigel Mansell,31,United Kingdom,1,32,31,59,30,480,False,1990,0.16753926701570682,0.9790575916230366,0.16230366492146597,0.3089005235602094,0.15706806282722513,2.513089005235602,15,True
102,Ayrton Senna,41,Brazil,3,65,41,80,19,610,False,1990,0.4012345679012346,0.9938271604938272,0.25308641975308643,0.49382716049382713,0.11728395061728394,3.765432098765432,11,True
117,Alain Prost,51,France,4,33,51,106,41,768.5,False,1990,0.16336633663366337,0.9851485148514852,0.2524752475247525,0.5247524752475248,0.20297029702970296,3.8044554455445545,13,True
137,Nelson Piquet,23,Brazil,3,24,23,60,23,481.5,False,1980,0.11594202898550723,0.9855072463768116,0.1111111111111111,0.2898550724637681,0.1111111111111111,2.3260869565217392,14,True
177,Keke Rosberg,5,Finland,1,5,5,17,3,159.5,False,1980,0.0390625,0.890625,0.0390625,0.1328125,0.0234375,1.24609375,9,True
178,Alan Jones,12,Australia,1,6,12,24,13,199,False,1980,0.05128205128205128,0.9914529914529916,0.10256410256410256,0.20512820512820512,0.1111111111111111,1.7008547008547008,10,True
182,Niki Lauda,25,Austria,3,24,25,54,24,420.5,False,1980,0.13559322033898305,0.9661016949152542,0.14124293785310735,0.3050847457627119,0.13559322033898305,2.3757062146892656,13,True
207,Mario Andretti,12,United States,1,18,12,19,10,180,False,1980,0.13740458015267176,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.07633587786259542,1.3740458015267176,14,True
222,Jody Scheckter,10,South Africa,1,3,10,33,5,246,False,1980,0.02654867256637168,0.991150442477876,0.08849557522123894,0.2920353982300885,0.04424778761061947,2.1769911504424777,9,True
224,Emerson Fittipaldi,14,Brazil,2,6,14,35,6,281,False,1980,0.04026845637583893,0.9664429530201344,0.09395973154362416,0.2348993288590604,0.04026845637583893,1.8859060402684564,11,True
231,James Hunt,10,United Kingdom,1,14,10,23,8,179,False,1980,0.15053763440860216,0.989247311827957,0.10752688172043012,0.24731182795698925,0.08602150537634409,1.924731182795699,7,True
289,Graham Hill,14,United Kingdom,2,13,14,36,10,270,False,1970,0.07262569832402235,0.9832402234636872,0.0782122905027933,0.2011173184357542,0.05586592178770949,1.5083798882681565,18,True
304,Denny Hulme,8,New Zealand,1,1,8,33,9,248,False,1970,0.008928571428571428,1,0.07142857142857142,0.29464285714285715,0.08035714285714286,2.2142857142857144,10,True
328,Jackie Stewart,27,United Kingdom,3,17,27,43,15,359,False,1970,0.17,0.99,0.27,0.43,0.15,3.59,9,True
341,John Surtees,6,United Kingdom,1,8,6,24,10,180,False,1970,0.07079646017699115,0.9823008849557522,0.05309734513274336,0.21238938053097345,0.08849557522123894,1.592920353982301,13,True
356,Jack Brabham,14,Australia,3,13,14,31,12,253,False,1960,0.1015625,0.984375,0.109375,0.2421875,0.09375,1.9765625,16,True
358,Jochen Rindt,6,Austria,1,10,6,13,3,107,False,1970,0.16129032258064516,0.967741935483871,0.0967741935483871,0.20967741935483872,0.04838709677419355,1.7258064516129032,7,True
373,Jim Clark,25,United Kingdom,2,33,25,32,28,255,False,1960,0.4520547945205479,0.9863013698630136,0.3424657534246575,0.4383561643835616,0.3835616438356164,3.493150684931507,9,True
403,Phil Hill,3,United States,1,6,3,16,6,94,False,1960,0.1153846153846154,0.9423076923076924,0.057692307692307696,0.3076923076923077,0.1153846153846154,1.807692307692308,8,True
578,Mike Hawthorn,3,United Kingdom,1,4,3,18,6,112.64,False,1960,0.0851063829787234,0.9574468085106383,0.06382978723404255,0.3829787234042553,0.1276595744680851,2.3965957446808512,7,True
642,Nino Farina,5,Italy,1,5,5,20,5,115.33,False,1950,0.14705882352941177,0.9705882352941176,0.14705882352941177,0.5882352941176471,0.14705882352941177,3.392058823529412,6,True
647,Alberto Ascari,13,Italy,2,14,13,17,12,107.64,False,1950,0.42424242424242425,0.9696969696969696,0.3939393939393939,0.5151515151515151,0.3636363636363637,3.2618181818181817,6,True
830,Max Verstappen,63,Netherlands,2,21,36,78,21,2036.5,True,2020,0.12804878048780488,1,0.2195121951219512,0.47560975609756095,0.12804878048780488,12.417682926829269,8,True
